start
| epoch   1 |   100/17578 batches | lr 2.00000 | ms/batch 394.18 | loss 1.201 | bpc 1.732
| epoch   1 |   200/17578 batches | lr 2.00000 | ms/batch 400.59 | loss 0.014 | bpc 0.019
| epoch   1 |   300/17578 batches | lr 2.00000 | ms/batch 406.61 | loss 0.012 | bpc 0.018
| epoch   1 |   400/17578 batches | lr 2.00000 | ms/batch 405.63 | loss 0.011 | bpc 0.016
| epoch   1 |   500/17578 batches | lr 2.00000 | ms/batch 407.83 | loss 0.010 | bpc 0.014
| epoch   1 |   600/17578 batches | lr 2.00000 | ms/batch 406.92 | loss 0.010 | bpc 0.014
| epoch   1 |   700/17578 batches | lr 2.00000 | ms/batch 405.90 | loss 0.009 | bpc 0.013
| epoch   1 |   800/17578 batches | lr 2.00000 | ms/batch 407.65 | loss 0.009 | bpc 0.012
| epoch   1 |   900/17578 batches | lr 2.00000 | ms/batch 406.01 | loss 0.008 | bpc 0.012
| epoch   1 |  1000/17578 batches | lr 2.00000 | ms/batch 406.87 | loss 0.008 | bpc 0.012
| epoch   1 |  1100/17578 batches | lr 2.00000 | ms/batch 405.71 | loss 0.008 | bpc 0.012
| epoch   1 |  1200/17578 batches | lr 2.00000 | ms/batch 408.09 | loss 0.008 | bpc 0.011
| epoch   1 |  1300/17578 batches | lr 2.00000 | ms/batch 405.28 | loss 0.008 | bpc 0.012
| epoch   1 |  1400/17578 batches | lr 2.00000 | ms/batch 407.81 | loss 0.008 | bpc 0.011
| epoch   1 |  1500/17578 batches | lr 2.00000 | ms/batch 406.17 | loss 0.008 | bpc 0.011
| epoch   1 |  1600/17578 batches | lr 2.00000 | ms/batch 408.59 | loss 0.007 | bpc 0.011
| epoch   1 |  1700/17578 batches | lr 2.00000 | ms/batch 405.15 | loss 0.008 | bpc 0.011
| epoch   1 |  1800/17578 batches | lr 2.00000 | ms/batch 405.92 | loss 0.008 | bpc 0.011
| epoch   1 |  1900/17578 batches | lr 2.00000 | ms/batch 409.01 | loss 0.008 | bpc 0.011
| epoch   1 |  2000/17578 batches | lr 2.00000 | ms/batch 408.25 | loss 0.008 | bpc 0.011
| epoch   1 |  2100/17578 batches | lr 2.00000 | ms/batch 407.60 | loss 0.007 | bpc 0.011
| epoch   1 |  2200/17578 batches | lr 2.00000 | ms/batch 405.29 | loss 0.007 | bpc 0.011
| epoch   1 |  2300/17578 batches | lr 2.00000 | ms/batch 409.52 | loss 0.007 | bpc 0.010
| epoch   1 |  2400/17578 batches | lr 2.00000 | ms/batch 407.34 | loss 0.007 | bpc 0.010
| epoch   1 |  2500/17578 batches | lr 2.00000 | ms/batch 407.32 | loss 0.007 | bpc 0.010
| epoch   1 |  2600/17578 batches | lr 2.00000 | ms/batch 408.11 | loss 0.007 | bpc 0.011
| epoch   1 |  2700/17578 batches | lr 2.00000 | ms/batch 407.47 | loss 0.007 | bpc 0.010
| epoch   1 |  2800/17578 batches | lr 2.00000 | ms/batch 409.74 | loss 0.007 | bpc 0.010
| epoch   1 |  2900/17578 batches | lr 2.00000 | ms/batch 405.56 | loss 0.007 | bpc 0.010
| epoch   1 |  3000/17578 batches | lr 2.00000 | ms/batch 409.27 | loss 0.007 | bpc 0.010
| epoch   1 |  3100/17578 batches | lr 2.00000 | ms/batch 407.68 | loss 0.007 | bpc 0.010
| epoch   1 |  3200/17578 batches | lr 2.00000 | ms/batch 409.64 | loss 0.007 | bpc 0.010
| epoch   1 |  3300/17578 batches | lr 2.00000 | ms/batch 405.31 | loss 0.007 | bpc 0.010
| epoch   1 |  3400/17578 batches | lr 2.00000 | ms/batch 407.97 | loss 0.007 | bpc 0.010
| epoch   1 |  3500/17578 batches | lr 2.00000 | ms/batch 406.15 | loss 0.007 | bpc 0.010
| epoch   1 |  3600/17578 batches | lr 2.00000 | ms/batch 408.36 | loss 0.007 | bpc 0.010
| epoch   1 |  3700/17578 batches | lr 2.00000 | ms/batch 406.34 | loss 0.007 | bpc 0.010
| epoch   1 |  3800/17578 batches | lr 2.00000 | ms/batch 409.02 | loss 0.007 | bpc 0.010
| epoch   1 |  3900/17578 batches | lr 2.00000 | ms/batch 409.49 | loss 0.007 | bpc 0.010
| epoch   1 |  4000/17578 batches | lr 2.00000 | ms/batch 407.79 | loss 0.007 | bpc 0.010
| epoch   1 |  4100/17578 batches | lr 2.00000 | ms/batch 407.55 | loss 0.007 | bpc 0.010
| epoch   1 |  4200/17578 batches | lr 2.00000 | ms/batch 409.36 | loss 0.007 | bpc 0.010
| epoch   1 |  4300/17578 batches | lr 2.00000 | ms/batch 409.57 | loss 0.007 | bpc 0.010
| epoch   1 |  4400/17578 batches | lr 2.00000 | ms/batch 409.09 | loss 0.007 | bpc 0.010
| epoch   1 |  4500/17578 batches | lr 2.00000 | ms/batch 408.83 | loss 0.007 | bpc 0.010
| epoch   1 |  4600/17578 batches | lr 2.00000 | ms/batch 407.52 | loss 0.007 | bpc 0.010
| epoch   1 |  4700/17578 batches | lr 2.00000 | ms/batch 407.88 | loss 0.007 | bpc 0.010
| epoch   1 |  4800/17578 batches | lr 2.00000 | ms/batch 408.64 | loss 0.007 | bpc 0.009
| epoch   1 |  4900/17578 batches | lr 2.00000 | ms/batch 409.73 | loss 0.006 | bpc 0.009
| epoch   1 |  5000/17578 batches | lr 2.00000 | ms/batch 407.51 | loss 0.007 | bpc 0.010
| epoch   1 |  5100/17578 batches | lr 2.00000 | ms/batch 405.49 | loss 0.007 | bpc 0.009
| epoch   1 |  5200/17578 batches | lr 2.00000 | ms/batch 409.75 | loss 0.006 | bpc 0.009
| epoch   1 |  5300/17578 batches | lr 2.00000 | ms/batch 409.88 | loss 0.006 | bpc 0.009
| epoch   1 |  5400/17578 batches | lr 2.00000 | ms/batch 409.45 | loss 0.007 | bpc 0.009
| epoch   1 |  5500/17578 batches | lr 2.00000 | ms/batch 407.75 | loss 0.006 | bpc 0.009
| epoch   1 |  5600/17578 batches | lr 2.00000 | ms/batch 409.16 | loss 0.006 | bpc 0.009
| epoch   1 |  5700/17578 batches | lr 2.00000 | ms/batch 410.06 | loss 0.006 | bpc 0.009
| epoch   1 |  5800/17578 batches | lr 2.00000 | ms/batch 409.56 | loss 0.007 | bpc 0.009
| epoch   1 |  5900/17578 batches | lr 2.00000 | ms/batch 409.50 | loss 0.006 | bpc 0.009
| epoch   1 |  6000/17578 batches | lr 2.00000 | ms/batch 407.26 | loss 0.006 | bpc 0.009
| epoch   1 |  6100/17578 batches | lr 2.00000 | ms/batch 409.96 | loss 0.006 | bpc 0.009
| epoch   1 |  6200/17578 batches | lr 2.00000 | ms/batch 409.49 | loss 0.006 | bpc 0.009
| epoch   1 |  6300/17578 batches | lr 2.00000 | ms/batch 408.12 | loss 0.006 | bpc 0.009
| epoch   1 |  6400/17578 batches | lr 2.00000 | ms/batch 409.12 | loss 0.006 | bpc 0.009
| epoch   1 |  6500/17578 batches | lr 2.00000 | ms/batch 407.74 | loss 0.006 | bpc 0.009
| epoch   1 |  6600/17578 batches | lr 2.00000 | ms/batch 407.48 | loss 0.006 | bpc 0.009
| epoch   1 |  6700/17578 batches | lr 2.00000 | ms/batch 409.72 | loss 0.006 | bpc 0.009
| epoch   1 |  6800/17578 batches | lr 2.00000 | ms/batch 409.06 | loss 0.006 | bpc 0.009
| epoch   1 |  6900/17578 batches | lr 2.00000 | ms/batch 408.33 | loss 0.006 | bpc 0.009
| epoch   1 |  7000/17578 batches | lr 2.00000 | ms/batch 409.14 | loss 0.006 | bpc 0.009
| epoch   1 |  7100/17578 batches | lr 2.00000 | ms/batch 409.77 | loss 0.006 | bpc 0.009
| epoch   1 |  7200/17578 batches | lr 2.00000 | ms/batch 407.52 | loss 0.006 | bpc 0.009
| epoch   1 |  7300/17578 batches | lr 2.00000 | ms/batch 409.64 | loss 0.006 | bpc 0.009
| epoch   1 |  7400/17578 batches | lr 2.00000 | ms/batch 409.48 | loss 0.006 | bpc 0.009
| epoch   1 |  7500/17578 batches | lr 2.00000 | ms/batch 409.37 | loss 0.006 | bpc 0.009
| epoch   1 |  7600/17578 batches | lr 2.00000 | ms/batch 409.53 | loss 0.006 | bpc 0.009
| epoch   1 |  7700/17578 batches | lr 2.00000 | ms/batch 410.30 | loss 0.006 | bpc 0.009
| epoch   1 |  7800/17578 batches | lr 2.00000 | ms/batch 408.53 | loss 0.006 | bpc 0.009
| epoch   1 |  7900/17578 batches | lr 2.00000 | ms/batch 406.14 | loss 0.006 | bpc 0.009
| epoch   1 |  8000/17578 batches | lr 2.00000 | ms/batch 408.36 | loss 0.006 | bpc 0.009
| epoch   1 |  8100/17578 batches | lr 2.00000 | ms/batch 406.71 | loss 0.006 | bpc 0.009
| epoch   1 |  8200/17578 batches | lr 2.00000 | ms/batch 409.84 | loss 0.006 | bpc 0.009
| epoch   1 |  8300/17578 batches | lr 2.00000 | ms/batch 409.30 | loss 0.006 | bpc 0.009
